Plante;RangPhyto;NbFoliolesParFeuil;LendFin;FolAFin;AppFeuil_SdjDeb
269;2;0;1;0;-3.427616564
269;3;0;3;0;1.713808282
269;4;0;12;0;6.855233129
269;5;0;11.04227347;0;11.99665798
269;6;6;13.34670706;39.14279211;17.13808282
269;7;5;18.10782239;59;22.27950767
269;8;5;23.37374001;66.18964611;53.33181108
269;9;7;29;72.3140585;89.04135916
269;10;7;34.88596304;74.52394624;124.7509072
269;11;5;34.9668829;77.51128745;160.4604553
269;12;4;49.2645212;81.75004987;196.1700034
269;13;3;4.070105719;73.19610295;231.8795515
269;14;0;63.47014757;0;267.5890996
292;1;0;0;0;0.00
292;2;0;0;0;0.00
292;3;0;0;0;0.00
292;4;0;0;0;0.00
292;5;0;9.943329127;0;0.00
292;6;6;11.142294;50.30957706;0.00
292;7;5;16.94570901;67.33766954;10.79604285
292;8;7;19.24649124;66.94146684;52.19132565
292;9;7;25.10216064;65.94899278;93.58660846
292;10;7;33.91869438;71.77215008;134.9818913
292;11;5;41.47106198;71.82357204;176.3771741
292;12;3;33.47975556;76;217.7724569
292;13;3;11.24190876;81.62016683;259.1677397
292;14;0;59.74054388;0;300.5630225
